"","YEAR","WEEK","subtype","inci"
"373",2006,21,"inci.A.H1",47764.7251524296
"374",2006,21,"inci.A.H3",0
"375",2006,21,"inci.B",120057.282139891
"376",2006,22,"inci.A.H1",43363.9018572184
"377",2006,22,"inci.A.H3",0
"378",2006,22,"inci.B",77435.5390307471
"379",2006,23,"inci.A.H1",34055.3284324152
"380",2006,23,"inci.A.H3",0
"381",2006,23,"inci.B",76123.6753195164
"382",2006,24,"inci.A.H1",27815.2501338128
"383",2006,24,"inci.A.H3",0
"384",2006,24,"inci.B",21854.8393908529
"385",2006,25,"inci.A.H1",7843.9019180293
"386",2006,25,"inci.A.H3",0
"387",2006,25,"inci.B",19609.7547950733
"388",2006,26,"inci.A.H1",10834.7805174081
"389",2006,26,"inci.A.H3",3611.5935058027
"390",2006,26,"inci.B",14446.3740232108
"391",2006,27,"inci.A.H1",17226.6437084688
"392",2006,27,"inci.A.H3",0
"393",2006,27,"inci.B",5742.2145694896
"394",2006,28,"inci.A.H1",0
"395",2006,28,"inci.A.H3",21083.908188048
"396",2006,28,"inci.B",0
"397",2006,29,"inci.A.H1",NA
"398",2006,29,"inci.A.H3",NA
"399",2006,29,"inci.B",5853.62710261769
"400",2006,30,"inci.A.H1",37477.7290798183
"401",2006,30,"inci.A.H3",6246.28817996971
"402",2006,30,"inci.B",5829.86896797173
"403",2006,31,"inci.A.H1",53014.370364564
"404",2006,31,"inci.A.H3",0
"405",2006,31,"inci.B",2790.23001918758
"406",2006,32,"inci.A.H1",27143.9972375762
"407",2006,32,"inci.A.H3",0
"408",2006,32,"inci.B",5428.79944751523
"409",2006,33,"inci.A.H1",30192.1783393701
"410",2006,33,"inci.A.H3",0
"411",2006,33,"inci.B",6038.43566787401
"412",2006,34,"inci.A.H1",29475.4569363423
"413",2006,34,"inci.A.H3",0
"414",2006,34,"inci.B",7368.86423408558
"415",2006,35,"inci.A.H1",34155.0332068785
"416",2006,35,"inci.A.H3",0
"417",2006,35,"inci.B",10509.2409867318
"418",2006,36,"inci.A.H1",44721.5253813861
"419",2006,36,"inci.A.H3",0
"420",2006,36,"inci.B",0
"421",2006,37,"inci.A.H1",74035.3557137123
"422",2006,37,"inci.A.H3",0
"423",2006,37,"inci.B",2467.84519045708
"424",2006,38,"inci.A.H1",93427.1329677863
"425",2006,38,"inci.A.H3",0
"426",2006,38,"inci.B",5662.25048289614
"427",2006,39,"inci.A.H1",71356.9077295267
"428",2006,39,"inci.A.H3",0
"429",2006,39,"inci.B",8233.48935340693
"430",2006,40,"inci.A.H1",55393.8526857555
"431",2006,40,"inci.A.H3",8522.13118242393
"432",2006,40,"inci.B",23383.8965371388
"433",2006,41,"inci.A.H1",69870.2308746333
"434",2006,41,"inci.A.H3",3493.51154373167
"435",2006,41,"inci.B",11384.0289959532
"436",2006,42,"inci.A.H1",54757.9648383534
"437",2006,42,"inci.A.H3",12884.227020789
"438",2006,42,"inci.B",25657.3831189851
"439",2006,43,"inci.A.H1",54991.6934367189
"440",2006,43,"inci.A.H3",8460.26052872598
"441",2006,43,"inci.B",23924.5072328727
"442",2006,44,"inci.A.H1",93222.9781510289
"443",2006,44,"inci.A.H3",3728.91912604116
"444",2006,44,"inci.B",40316.6305508608
"445",2006,45,"inci.A.H1",100588.851294548
"446",2006,45,"inci.A.H3",5588.26951636379
"447",2006,45,"inci.B",40764.4303113323
"448",2006,46,"inci.A.H1",90890.1906374903
"449",2006,46,"inci.A.H3",7271.21525099922
"450",2006,46,"inci.B",31100.6434498185
"451",2006,47,"inci.A.H1",146427.414601392
"452",2006,47,"inci.A.H3",13945.4680572754
"453",2006,47,"inci.B",33762.7121386668
"454",2006,48,"inci.A.H1",133884.733002305
"455",2006,48,"inci.A.H3",3113.59844191408
"456",2006,48,"inci.B",47728.4509547603
"457",2006,49,"inci.A.H1",187112.22277265
"458",2006,49,"inci.A.H3",6804.08082809635
"459",2006,49,"inci.B",59518.8654616151
"460",2006,50,"inci.A.H1",415480.114979493
"461",2006,50,"inci.A.H3",35276.6135359947
"462",2006,50,"inci.B",128481.727842894
"463",2006,51,"inci.A.H1",668953.70166773
"464",2006,51,"inci.A.H3",34482.1495705016
"465",2006,51,"inci.B",156974.778883699
"466",2006,52,"inci.A.H1",748252.514457693
"467",2006,52,"inci.A.H3",52117.0905592423
"468",2006,52,"inci.B",169441.413798766
